## GRBname 	 Trig_ID 	 15_150kev 	 Exposure_time 	bestmodel
GRB140907A	611933	4.51E-06	144	
GRB140903A	611599	1.35E-07	0.36	
GRB140901B	611389	5.31E-07	4.8	
GRB140828A	610953	1.48E-06	25.02	
GRB140824A	610501	1.83E-07	3.376	
GRB140818B	609885	6.50E-07	35.26	
GRB140817A	609736	4.50E-06	318.9	
GRB140730A	607742	3.01E-07	44.54	
GRB140719B	605700	1.28E-06	65	
GRB140719A	605612	4.52E-07	48	
GRB140716A-2 	604793	3.26E-06	10.1	
GRB140716A-1 	604792	7.94E-07	7.46	
GRB140713A	604232	3.66E-07	6.784	
GRB140710A	603954	2.29E-07	4	
GRB140709B	603866	4.33E-06	219.2	
GRB140709A	603810	5.56E-06	131.7	
GRB140706A	603587	1.95E-06	58.74	
GRB140703A	603243	3.88E-06	137.5	
GRB140629A	602884	2.29E-06	54.85	
GRB140628A	602803	1.33E-06	12.36	
GRB140626A	602604	3.96E-07	17.54	
GRB140622A	602278	1.32E-08	0.152	
GRB140619A	602080	2.12E-05	303.7	
GRB140614B	601662	5.84E-07	58.96	
GRB140614A	601646	1.03E-06	96.82	
GRB140611A	601292	 N/A 	 N/A 	
GRB140610A	601259	5.92E-06	112.4	
GRB140607A	601051	2.10E-06	103.5	
GRB140606A	600951	5.12E-08	0.392	
GRB140529A	91901003	2.26E-06	13.09	
GRB140521A	599546	9.38E-07	11.3	
GRB140518A	599287	1.17E-06	64.02	
GRB140516A	599188	3.01E-08	0.32	
GRB140515A	599037	6.72E-07	25.79	
GRB140512A	598819	1.30E-05	201	
GRB140509A	598497	1.23E-06	26.86	
GRB140506A	598284	2.66E-06	120.4	
GRB140502A	597841	6.75E-07	19.06	
GRB140430A	597722	1.13E-06	177.9	
GRB140428A	597519	3.40E-07	20.02	
GRB140423A	596901	9.37E-06	239	
GRB140419A	596426	1.57E-05	134	
GRB140414A	84568002	1.24E-07	0.532	
GRB140413A	595616	1.14E-05	164.1	
GRB140412A	595608	7.09E-07	48	
GRB140408A	595141	3.26E-07	4.128	
GRB140402A	594308	5.45E-08	1.408	
GRB140331A	594081	7.13E-07	249.1	
GRB140323A	592916	1.57E-05	135.7	
GRB140320A	592544	5.24E-08	0.64	
GRB140318A	592204	2.85E-07	9.432	
GRB140311B	591392	2.21E-07	3.065	
GRB140311A	591390	2.10E-06	76.67	
GRB140305A	590446	5.64E-07	23.89	
GRB140304A	590206	1.13E-06	17.31	
GRB140302A	589685	2.75E-06	116.2	
GRB140301A	589590	4.55E-07	40.8	
GRB140215A	586680	7.24E-06	37.33	
GRB140213A	586569	1.20E-05	87.74	
GRB140211A	586289	1.88E-06	141	
GRB140209A	586071	4.15E-06	27.47	
GRB140206A	585834	1.68E-05	294.4	
GRB140129B	585149	7.08E-08	1.512	
GRB140129A	585128	1.28E-07	3	
GRB140118A	584136	2.56E-06	103	
GRB140114A	583861	3.20E-06	183.1	
GRB140108A	583338	7.14E-06	128.2	
GRB140103A	582773	5.99E-07	19.46	
GRB140102A	582760	7.62E-06	131.4	
GRB131229A	582374	6.89E-06	96	
GRB131227A	582184	8.41E-07	20.42	
GRB131226A	582123	4.02E-06	8.96	
GRB131224B	32923023	2.59E-07	9.616	
GRB131205A	580267	1.89E-07	20.76	
GRB131202A	579982	6.06E-07	37.26	
GRB131128A	579683	3.17E-07	3	
GRB131127A	579571	1.99E-06	111.6	
GRB131120A	578227	6.09E-07	135.4	
GRB131117A	577968	2.98E-07	12.42	
GRB131110A	20326002	3.44E-06	84.8	
GRB131105A	576738	 N/A 	 N/A 	
GRB131103A	576562	8.12E-07	18.54	
GRB131031A	576277	 N/A 	 N/A 	
GRB131030A	576238	2.91E-05	148.9	
GRB131024B	575754	1.46E-06	109.3	
GRB131024A	575707	1.21E-06	128	
GRB131018A	574935	1.09E-06	96.64	
GRB131004A	573190	2.76E-07	2.048	
GRB131002B	572742	7.87E-07	63	
GRB131002A	572721	5.60E-07	59.95	
GRB131001A	82217006	5.57E-07	6	
