## GRBname 	 Trig_ID 	 Exposure_time 	 15_150kev
GRB130807A	565651	326	0.00000222
GRB130806A	565562	6.264	0.000000166
GRB130803A	565263	45.62	0.0000014
GRB130727A	564342	25.46	0.00000384
GRB130725B	564028	6.28	0.000000375
GRB130725A	563980	113.2	0.000000977
GRB130722A	563213	257	0.000013
GRB130716A	561974	106.7	0.000000329
GRB130708A	560515	8.448	0.00000114
GRB130701A	559482	6.492	4.38E-06
GRB130627B	559139	64	0.000000825
GRB130626A	559075	0.192	6.02E-08
GRB130625A	558982	57.76	0.00000186
GRB130615A	558271	361.3	0.00000229
GRB130610A	557845	69.48	0.00000253
GRB130609B	557828	317.7	0.0000164
GRB130609A	557782	8.464	0.000000574
GRB130608A	557771	156.9	0.00000089
GRB130606A	557589	298.3	0.00000276
GRB130604A	557354	96.21	0.00000154
GRB130603B	557310	0.252	0.000000627
GRB130603A	557274	125.8	0.0000019
GRB130529A	556930	110.3	0.00000126
GRB130528A	556870	720	0.00000568
GRB130527A	556753	176	0.0000133
GRB130521A	556344	13.28	0.000000425
GRB130518B	556105	6.479	0.000000595
GRB130514A	555821	280.7	0.000009
GRB130511A	555600	2.904	0.000000174
GRB130508A	555413	48.58	0.000000614
GRB130505A	555163	339.7	0.00000347
GRB130502A	554996	10.4	0.000000431
GRB130427B	554635	30.11	0.00000145
GRB130427A	554620	711.2	0.000373
GRB130420B	553996	20.66	6.57E-07
GRB130420A	553977	203.1	0.00000759
GRB130419A	553918	139.4	0.000000844
GRB130418A	553847	313.1	0.00000177
GRB130408A	553132	4.656	0.00000167
GRB130327A	552063	8.04	0.000000227
GRB130315A	551126	266.4	0.00000453
GRB130313A	550906	0.204	2.95E-08
GRB130306A	550457	313.6	0.0000297
GRB130216B	548918	10.01	0.00000215
GRB130216A	548927	10.47	2.97E-06
GRB130215A	548760	79.55	0.0000054
GRB130211A	548276	35.72	0.000000652
GRB130206A	547918	156	0.00000197
GRB130131B	547420	4.648	0.000000338
GRB130131A	547407	53.02	0.000000306
GRB130102A	544784	169	0.000000838
GRB121229A	544347	146.5	0.00000084
GRB121226A	544027	1.16	0.000000142
GRB121217A	542441	801.5	0.00000617
GRB121212A	541371	8.112	0.000000139
GRB121211A	541200	197.1	0.00000127
GRB121209A	540964	46.88	0.00000287
GRB121202A	540255	21.19	1.06E-06
GRB121201A	540178	46	0.00000072
GRB121128A	539866	41.69	5.83E-06
GRB121125A	539563	86.82	0.0000046
GRB121123A	539358	425.5	1.24E-05
GRB121117A	538696	29.6	0.00000108
GRB121102A	537266	75.21	0.00000205
GRB121031A	537195	307.3	0.00000795
GRB121028A	536897	3.284	0.000000335
GRB121027A	536831	144.7	0.0000022
GRB121024A	536580	82.37	0.0000011
GRB121017A	536172	5.28	0.000000656
GRB121014A	535960	80	0.00000107
GRB121011A	535764	117	0.00000233
GRB120927A	534815	69.07	2.31E-06
GRB120923A	534402	29.57	0.000000389
GRB120922A	534394	238.3	0.00000552
GRB120918A	534015	26.78	2.98E-06
GRB120913B	533613	162.5	0.0000111
GRB120913A	533568	40.52	0.00000088
GRB120911A	533268	25.72	0.00000106
GRB120909A	533060	598.2	0.0000075
GRB120907A	532871	6.96	0.000000588
GRB120819A	531428	78.59	0.0000014
GRB120817A	531267	33.02	0.000000692
GRB120816A	531223	4.784	0.000000373
GRB120815A	531003	12.21	0.000000492
GRB120811C	530689	41.06	2.84E-06
GRB120811A	530581	36.38	0.000000753
GRB120807A	530267	24.4	0.000000292
GRB120805A	530031	48	0.000000841
