## GRBname 	 Trig_ID 	 15_150kev(PL) 	 Exposure_time 	bestmodel	 15_150kev(CPL) 	 15_150kev
GRB150314A	634795	2.25E-05	103.6	 PL	0	0.0000225
GRB150309A	634200	0.00E+00	316.4	 CPL	1.74E-05	1.73935E-05
GRB150302A	633237	2.57E-07	29.38	 PL	0	0.000000257
GRB150301A	632995	7.36E-08	0.56	 PL	0	7.36E-08
GRB150222A	632180	2.17E-06	28.05	 PL	0	0.00000217
GRB150213B	631051	3.21E-06	287	 PL	0	0.00000321
GRB150212A	630876	9.00E-07	19.78	 PL	0	0.0000009
GRB150206A	630019	1.48E-05	411.9	 PL	0	0.0000148
GRB150204A	84702002	8.79E-07	19	 PL	0	0.000000879
GRB150203A	629578	9.36E-07	29.53	 PL	0	0.000000936
GRB150202A	629547	6.24E-07	28.29	 PL	0	0.000000624
GRB150201A	629302	7.78E-07	30.03	 PL	0	0.000000778
GRB150120B	627170	5.34E-07	28.18	 PL	0	0.000000534
GRB150120A	627137	1.44E-07	1.356	 PL	0	0.000000144
GRB150110B	624606	4.92E-07	11.71	 PL	0	0.000000492
GRB150103A	623368	9.53E-07	58.62	 PL	0	0.000000953
GRB141225A	622476	2.81E-06	124.9	 PL	0	0.00000281
GRB141220A	621915	0.00E+00	8.204	 CPL	2.56E-06	2.55803E-06
GRB141212B	621234	1.19E-06	12.2	 PL	0	0.00000119
GRB141212A	621229	7.25E-08	0.336	 PL	0	7.25E-08
GRB141130A	620090	2.77E-06	82.76	 PL	0	0.00000277
GRB141121A	619182	4.32E-06	552.7	 PL	0	0.00000432
GRB141109B	618032	8.23E-07	227.2	 PL	0	0.000000823
GRB141109A	618024	6.66E-06	322.6	 PL	0	0.00000666
GRB141031B	617149	2.48E-07	17.26	 PL	0	0.000000248
GRB141031A	617110	3.45E-06	910.7	 PL	0	0.00000345
GRB141026A	616502	1.29E-06	166.9	 PL	0	0.00000129
GRB141020A	615873	4.63E-07	18.84	 PL	0	0.000000463
GRB141017A	615672	0.00E+00	66.8	 CPL	2.98E-06	2.97589E-06
GRB141015A	615399	1.59E-07	13	 PL	0	0.000000159
GRB141005A	614415	1.09E-06	4.176	 PL	0	0.00000109
GRB141004A	614390	6.68E-07	6.188	 PL	0	0.000000668
GRB140927A	613775	2.68E-07	8.268	 PL	0	0.000000268
GRB140919A	613160	6.19E-06	173.1	 PL	0	0.00000619
GRB140916A	612804	1.50E-06	79.97	 PL	0	0.0000015
GRB140907A	611933	4.51E-06	144	 PL	0	0.00000451
GRB140901B	611389	5.31E-07	4.8	 PL	0	0.000000531
GRB140828A	610953	0.00E+00	25.02	 CPL	1.37E-06	1.36889E-06
GRB140824A	610501	1.83E-07	3.376	 PL	0	0.000000183
GRB140818B	609885	6.50E-07	35.26	 PL	0	0.00000065
GRB140817A	609736	4.50E-06	318.9	 PL	0	0.0000045
GRB140730A	607742	3.01E-07	44.54	 PL	0	0.000000301
GRB140719B	605700	1.28E-06	65	 PL	0	0.00000128
GRB140710A	603954	2.29E-07	4	 PL	0	0.000000229
GRB140709B	603866	4.33E-06	219.2	 PL	0	0.00000433
GRB140709A	603810	0.00E+00	131.7	 CPL	5.42E-06	5.42245E-06
GRB140706A	603587	1.95E-06	58.74	 PL	0	0.00000195
GRB140703A	603243	3.88E-06	137.5	 PL	0	0.00000388
GRB140629A	602884	2.29E-06	54.85	 PL	0	0.00000229
GRB140628A	602803	1.33E-06	12.36	 PL	0	0.00000133
GRB140626A	602604	3.96E-07	17.54	 PL	0	0.000000396
GRB140622A	602278	1.32E-08	0.152	 PL	0	1.32E-08
GRB140619A	602080	2.12E-05	303.7	 PL	0	0.0000212
GRB140614B	601662	5.84E-07	58.96	 PL	0	0.000000584
GRB140614A	601646	1.03E-06	96.82	 PL	0	0.00000103
GRB140610A	601259	5.92E-06	112.4	 PL	0	0.00000592
GRB140606A	600951	5.12E-08	0.392	 PL	0	5.12E-08
GRB140529A	91901003	2.26E-06	13.09	 PL	0	0.00000226
GRB140521A	599546	9.38E-07	11.3	 PL	0	0.000000938
GRB140518A	599287	0.00E+00	64.02	 CPL	1.06E-06	1.06394E-06
GRB140516A	599188	3.01E-08	0.32	 PL	0	3.01E-08
GRB140515A	599037	0.00E+00	25.79	 CPL	6.19E-07	6.19058E-07
GRB140512A	598819	1.30E-05	201	 PL	0	0.000013
GRB140506A	598284	2.66E-06	120.4	 PL	0	0.00000266
GRB140502A	597841	6.75E-07	19.06	 PL	0	0.000000675
GRB140430A	597722	1.13E-06	177.9	 PL	0	0.00000113
GRB140428A	597519	3.40E-07	20.02	 PL	0	0.00000034
GRB140423A	596901	9.37E-06	239	 PL	0	0.00000937
GRB140419A	596426	1.57E-05	134	 PL	0	0.0000157
GRB140414A	84568002	1.24E-07	0.532	 PL	0	0.000000124
GRB140413A	595616	1.14E-05	164.1	 PL	0	0.0000114
GRB140412A	595608	7.09E-07	48	 PL	0	0.000000709
GRB140408A	595141	3.26E-07	4.128	 PL	0	0.000000326
GRB140402A	594308	5.45E-08	1.408	 PL	0	5.45E-08
GRB140331A	594081	7.13E-07	249.1	 PL	0	0.000000713
GRB140323A	592916	1.57E-05	135.7	 PL	0	0.0000157
GRB140320A	592544	5.24E-08	0.64	 PL	0	5.24E-08
GRB140318A	592204	2.85E-07	9.432	 PL	0	0.000000285
GRB140311B	591392	2.21E-07	3.065	 PL	0	0.000000221
GRB140311A	591390	2.10E-06	76.67	 PL	0	0.0000021
GRB140304A	590206	0.00E+00	17.31	 CPL	1.10E-06	1.09574E-06
GRB140302A	589685	2.75E-06	116.2	 PL	0	0.00000275
GRB140301A	589590	4.55E-07	40.8	 PL	0	0.000000455
GRB140215A	586680	7.24E-06	37.33	 PL	0	0.00000724
GRB140213A	586569	1.20E-05	87.74	 PL	0	0.000012
GRB140211A	586289	1.88E-06	141	 PL	0	0.00000188
GRB140209A	586071	4.15E-06	27.47	 PL	0	0.00000415
GRB140206A	585834	0.00E+00	294.4	 CPL	1.64E-05	1.64047E-05
