##GRBname	bestmodel
GRB120102A	 PL
GRB111229A	 PL
GRB111228A	 PL
GRB111225A	 PL
GRB111215A	 PL
GRB111212A	 PL
GRB111210A	 PL
GRB111209A	 PL
GRB111208A	 PL
GRB111207A	 PL
GRB111204A	 PL
GRB111201A	 PL
GRB111129A	 PL
GRB111126A	 PL
GRB111123A	 PL
GRB111121A	 N/A
GRB111117A	 PL
GRB111109A	 PL
GRB111107A	 PL
GRB111103B	 PL
GRB111103A	 PL
GRB111029A	 PL
GRB111026A	 PL
GRB111022B	 PL
GRB111022A	 CPL
GRB111020A	 PL
GRB111018A	 PL
GRB111016A	 PL
GRB111008A	 PL
GRB111005A	 N/A
GRB110928A	 PL
GRB110921A	 PL
GRB110915A	 CPL
GRB110827A	 N/A
GRB110820A	 PL
GRB110818A	 N/A
GRB110808A	 PL
GRB110801A	 N/A
GRB110731A	 PL
GRB110726A	 N/A
GRB110719A	 PL
GRB110715A	 N/A
GRB110709B	 PL
GRB110709A	 PL
GRB110625A	 PL
GRB110610A	 N/A
GRB110604A	 N/A
GRB110530A	 PL
GRB110521A	 PL
GRB110520A	 PL
GRB110519A	 PL
GRB110503A	 PL
GRB110422A	 CPL
GRB110420B	 N/A
GRB110420A	 PL
GRB110414A	 PL
GRB110412A	 PL
GRB110411A	 CPL
GRB110407A	 CPL
GRB110402A	 PL
GRB110319A	 N/A
GRB110319B	 PL
GRB110318B	 PL
GRB110318A	 CPL
GRB110315A	 PL
GRB110312A	 PL
GRB110305A	 PL
GRB110223B	 PL
GRB110223A	 PL
GRB110213A	 PL
GRB110212A	 CPL
GRB110210A	 PL
GRB110208A	 PL
GRB110207A	 N/A
GRB110205A	 PL
GRB110201A	 N/A
GRB110128A	 PL
GRB110119A	 PL
GRB110112A	 PL
GRB110107A	 PL
GRB110106B	 PL
GRB110106A	 PL
GRB110102A	 PL
GRB101225A	 PL
GRB101224A	 N/A
GRB101219B	 PL
GRB101219A	 N/A
GRB101213A	 PL
GRB101204A	 N/A
GRB101201A	 N/A
GRB101129A	 N/A
GRB101117B	 PL
GRB101114A	 PL
GRB101030A	 PL
GRB101024A	 CPL
GRB101023A	 CPL
GRB101020A	 PL
GRB101017A	 PL
GRB101011A	 PL
GRB101008A	 PL
GRB100928A	 PL
GRB100924A	 PL
GRB100917A	 PL
GRB100915A	 PL
GRB100906A	 PL
GRB100905A	 PL
GRB100904A	 PL
GRB100902A	 PL
GRB100901A	 PL
GRB100823A	 PL
GRB100816A	 CPL
GRB100814A	 PL
GRB100807A	 PL
GRB100805A	 PL
GRB100802A	 PL
GRB100728B	 PL
GRB100728A	 PL
GRB100727A	 N/A
GRB100725B	 PL
GRB100725A	 PL
GRB100724A	 PL
GRB100719A	 PL
GRB100704A	 PL
GRB100702A	 PL
GRB100628A	 N/A
GRB100625A	 N/A
GRB100621A	 PL
GRB100619A	 PL
GRB100615A	 PL
GRB100614A	 N/A
GRB100606A	 PL
GRB100526B	 PL
GRB100526A	 PL
GRB100522A	 PL
GRB100514A	 PL
GRB100513A	 PL
GRB100508A	 PL
GRB100504A	 PL
GRB100427A	 PL
GRB100425A	 PL
GRB100424A	 PL
GRB100423A	 PL
GRB100420A	 PL
GRB100418A	 PL
GRB100413A	 PL
GRB100413B	 N/A
GRB100401A	 PL
GRB100324A	 PL
GRB100322B	 PL
