## GRBname 	 Trig_ID 	 15_150kev 	 Exposure_time 	bestmodel
GRB160815A	708598	1.39E-06	11.6	 CPL
GRB160804A	707231	1.09E-05	222	 CPL
GRB160801A	706871	1.62E-07	3.172	 PL
GRB160726A	706052	2.70E-07	0.784	 PL
GRB160716A	704572	 N/A 	7.16	 PL
GRB160714A	704310	6.74E-08	0.372	 PL
GRB160712A	704155	2.62E-06	54.06	 PL
GRB160709A	703769	4.47E-07	4.8	 PL
GRB160705B	703176	 N/A 	69.62	 PL
GRB160703A	702699	8.97E-06	79.73	 PL
GRB160630A	702252	1.25E-06	36.3	 PL
GRB160625A	701503	 N/A 	62.45	 PL
GRB160624A	701288	4.20E-08	0.256	 PL
GRB160623A	  N/A 	 N/A 	 N/A 	 N/A
GRB160612A	31791037	9.65E-08	0.184	 N/A
GRB160611A	690598	1.76E-06	44.9	 PL
GRB160607A	689597	2.07E-05	58.63	 PL
GRB160601A	688452	6.39E-08	0.144	 PL
GRB160525B	687522	2.84E-08	0.316	 PL
GRB160525A	687492	1.67E-07	64	 N/A
GRB160519A	686818	1.12E-06	42.14	 PL
GRB160506A	685245	1.36E-06	345.1	 PL
GRB160504A	685124	5.82E-07	58.59	 PL
GRB160501A	684679	5.38E-07	64	 PL
GRB160425A	684098	2.01E-06	320.3	 PL
GRB160424A	683906	1.23E-06	8.16	 PL
GRB160419A	683383	3.68E-06	13.82	 CPL
GRB160417A	683076	5.75E-07	16.02	 PL
GRB160412A	682522	1.91E-06	44.48	 PL
GRB160411A	682339	7.55E-08	0.392	 PL
GRB160410A	682269	1.15E-06	128	 PL
GRB160409A	682162	 N/A 	 N/A 	 N/A
GRB160408A	682059	1.59E-07	0.356	 N/A
GRB160327A	680655	1.37E-06	49.22	 PL
GRB160325A	680436	7.04E-06	111.1	 PL
GRB160321A	680017	4.92E-07	39.98	 PL
GRB160314A	679120	2.78E-07	9.348	 PL
GRB160313A	678929	6.00E-07	50.26	 N/A
GRB160303A	677495	1.48E-07	5.408	 PL
GRB160228A	676595	1.93E-06	119.6	 PL
GRB160227A	676423	3.12E-06	336.4	 CPL
GRB160225A	675998	1.54E-06	164.4	 PL
GRB160223A	675361	5.10E-06	188	 PL
GRB160220B	674734	6.96E-06	45.06	 CPL
GRB160220A	674670	5.20E-07	9.088	 PL
GRB160216A	673978	2.04E-06	12	 PL
GRB160203A	672525	9.77E-07	19.7	 PL
GRB160131A	672236	2.02E-05	774.5	 PL
GRB160127A	671828	 N/A 	7.14	 PL
GRB160123A	671447	3.22E-07	5.048	 PL
GRB160121A	671231	5.75E-07	15	 PL
GRB160119A	671014	6.98E-06	167.6	 PL
GRB160117B	670800	3.17E-07	14.45	 PL
GRB160117A	670793	3.09E-06	173	 PL
GRB160104A	669319	3.77E-07	18.96	 PL
GRB151229A	668689	 N/A 	2.456	 PL
GRB151228B	668641	2.32E-06	64	 CPL
GRB151228A	668543	7.66E-08	0.312	 CPL
GRB151215A	667392	2.79E-07	18.59	 PL
GRB151210A	666931	1.36E-06	110	 PL
GRB151205B	666378	7.85E-08	1.536	 PL
GRB151205A	666352	1.40E-06	80	 PL
GRB151127A	665268	2.31E-08	0.204	 PL
GRB151122A	664653	4.53E-07	10.05	 PL
GRB151118A	664078	4.49E-07	30.8	 PL
GRB151114A	663490	 N/A 	 N/A 	 N/A
GRB151112A	663179	 N/A 	 N/A 	 N/A
GRB151111A	663074	 N/A 	 N/A 	 N/A
GRB151107A	662757	 N/A 	 N/A 	 N/A
GRB151031A	662330	 N/A 	6	 PL
GRB151029A	662086	3.80E-07	13.22	 N/A
GRB151027B	661869	1.46E-06	96	 PL
GRB151027A	661775	4.23E-06	164.1	 PL
GRB151023A	661253	2.43E-07	13.15	 PL
GRB151022A	661036	1.15E-06	133.9	 PL
GRB151021A	660671	2.75E-05	149	 PL
GRB151006A	657750	7.22E-06	316.1	 PL
GRB151004A	657564	1.02E-06	148	 PL
GRB151001B	657321	1.57E-06	158.6	 PL
GRB151001A	657286	6.83E-07	14.06	 PL
GRB150925A	656604	1.30E-06	146.1	 PL
GRB150915A	655721	7.19E-07	176	 PL
GRB150911A	655262	2.07E-06	10.65	 CPL
GRB150910A	655097	4.76E-06	151.3	 PL
GRB150907B	654803	1.11E-06	66	 PL
GRB150901A	654042	4.56E-07	80	 PL
GRB150831B	653978	1.29E-06	7.424	 PL
GRB150831A	653838	3.63E-07	1.052	 PL
GRB150821A	652847	7.13E-07	156.5	 PL
GRB150819A	652643	4.42E-07	59.44	 PL
GRB150818A	652603	4.29E-06	201.3	 PL
GRB150817A	652334	5.86E-06	75.5	 PL
GRB150811A	651882	4.75E-07	37.68	 PL
GRB150801B	650977	2.98E-06	464.1	 PL
GRB150728A	650617	3.30E-08	0.96	 PL
GRB150727A	650530	3.53E-06	104.6	 N/A
GRB150724A	650141	2.00E-06	326.5	 PL
GRB150722A	649916	5.17E-07	72.08	 PL
GRB150720A	649706	7.06E-07	305.5	 PL
GRB150716A	649157	1.41E-06	51.34	 PL
GRB150711A	648601	4.19E-06	104.3	 N/A
GRB150710B	84694006	3.77E-06	33.4	 N/A
GRB150710A	648437	6.31E-10	0.208	 PL
GRB150626B	646786	1.03E-06	48	 PL
GRB150626A	646603	1.37E-06	121.7	 PL
GRB150616A	644259	1.93E-05	753.9	 PL
GRB150615A	643833	6.10E-07	39.34	 PL
GRB150607A	642620	2.30E-06	28.13	 CPL
GRB150530B	84922008	1.58E-07	3	 PL
GRB150530A	642018	1.74E-06	8.064	 PL
GRB150527A	641698	3.11E-06	124	 PL
GRB150513A	640584	5.62E-06	183.7	 PL
GRB150430A	639433	6.62E-06	119.6	 PL
GRB150428B	639278	3.57E-06	161.8	 CPL
GRB150428A	639275	6.31E-06	77.58	 PL
GRB150424A	638946	1.50E-06	95.07	 N/A
GRB150423A	638808	6.31E-08	0.232	 N/A
GRB150413A	637899	4.21E-06	281	 PL
GRB150407A	637342	 N/A 	 N/A 	 N/A
GRB150403A	637044	1.70E-05	228.5	 PL
