##GRBname	z	T90	Exposure	fluence	Flux[ph]	Flux[erg]
GRB081007	0.53	9.73	15.49	7.61E-07	2.87	1.63E-07
GRB080928	1.692	233.66	266.7	2.43E-06	2.08	1.58E-07
GRB080916A	0.689	61.35	91.04	4.22E-06	2.62	2.51E-07
GRB080913	6.733	7.46	8.33	5.72E-07	1.37	1.10E-07
GRB080906	2.13	148.21	214.6	3.65E-06	1.02	8.12E-08
GRB080905B	2.374	120.94	150.4	1.81E-06	1.62	1.26E-07
GRB080810	3.36	107.67	127	4.64E-06	1.98	1.69E-07
GRB080805	1.504	106.62	138	2.65E-06	1.04	1.15E-07
GRB080804	2.205	37.87	113.2	3.79E-06	3.06	2.53E-07
GRB080721	2.591	129.7	370.4	1.55E-05	0.71	1.93E-06
GRB080710	0.845	142.99	162.8	1.53E-06	0.92	6.05E-08
GRB080707	1.232	30.16	33.09	6.26E-07	1.06	6.09E-08
GRB080607	3.037	78.97	161.8	2.47E-05	23.3	2.37E-06
GRB080605	1.64	18.06	28.11	1.34E-05	0.94	1.92E-06
GRB080604	1.417	77.61	86.87	7.89E-07	0.38	3.15E-08
GRB080603B	2.689	59.12	68.37	2.46E-06	3.53	3.19E-07
GRB080602	1.82	74.29	80.73	3.26E-06	2.73	2.88E-07
GRB080520	1.546	3.32	3.64	5.89E-08	0.49	2.42E-08
GRB080517	0.089	64.51	69.15	5.87E-07	0.6	4.03E-08
GRB080516	3.2	5.76	5.97	2.67E-07	1.7	1.31E-07
GRB080515	2.47	20.86	27.73	2.58E-06	3.42	2.08E-07
GRB080430	0.767	13.87	17.66	1.17E-06	2.66	1.82E-07
GRB080413B	1.101	8	12	3.36E-06	18.13	1.40E-06
GRB080413A	2.433	46.36	50.42	3.52E-06	5.52	4.91E-07
GRB080411	1.03	56.33	77.55	2.65E-05	40.61	3.04E-06
GRB080330	1.512	60.36	62.67	2.94E-07	0.94	4.72E-08
GRB080325	1.78	166.74	203.4	5.01E-06	1.43	7.05E-08
GRB080319C	1.949	29.55	43.75	3.51E-06	5.09	4.65E-07
GRB080319B	0.938	124.86	248	8.55E-05	1.24	2.37E-06
GRB080319A	2.027	43.62	49.38	4.45E-06	2.6	1.62E-07
GRB080310	2.427	363.21	390.2	2.31E-06	1.32	8.42E-08
GRB080210	2.642	42.26	60.29	1.80E-06	1.59	1.33E-07
GRB080207	2.086	292.46	327.7	6.40E-06	1.1	8.66E-08
GRB080205	2.72	106.3	115.5	2.03E-06	1.4	8.81E-08
GRB080129	4.349	50.18	55.89	8.39E-07	0.55	5.10E-08
GRB071122	1.14	71.43	85.1	6.16E-07	0.41	2.25E-08
GRB071117	1.331	6.08	14.32	2.42E-06	0.42	1.06E-06
GRB071031	2.692	180.64	197	8.98E-07	0.54	3.22E-08
GRB071025	5.2	241.3	398.8	7.32E-06	1.71	1.30E-07
GRB071021	2.452	228.72	284.3	1.36E-06	0.63	5.15E-08
GRB071020	2.146	4.3	10.58	2.34E-06	0.61	8.67E-07
GRB071010B	0.947	36.12	59.57	4.62E-06	7.37	5.03E-07
GRB071010A	0.985	6.32	7.02	2.02E-07	0.89	4.53E-08
GRB071003	1.604	148.39	175.2	8.35E-06	6.35	6.35E-07
GRB070810A	2.17	9.04	12.74	6.72E-07	1.89	1.25E-07
GRB070808	1.35	58.43	69.89	1.29E-06	1.94	1.73E-07
GRB070802	2.454	15.8	17.96	2.79E-07	0.45	2.31E-08
GRB070721B	3.63	336.86	366.6	3.56E-06	1.56	1.57E-07
GRB070714A	1.58	3	3	1.55E-07	1.9	9.42E-08
GRB070612A	0.617	365.28	422.6	1.08E-05	1.37	1.49E-07
GRB070611	2.039	13.18	16	4.03E-07	0.8	5.44E-08
GRB070529	2.5	108.9	118.5	2.48E-06	1.46	1.11E-07
GRB070521	2.087	38.63	64.27	8.21E-06	0.4	6.19E-07
GRB070518	1.16	5.5	6.29	1.67E-07	0.67	4.08E-08
GRB070508	0.82	20.9	48.74	2.01E-05	24.25	2.24E-06
GRB070506	2.309	5.99	7.4	2.30E-07	0.99	6.97E-08
GRB070420	3.01	77.02	129.4	1.42E-05	7.06	5.62E-07
GRB070419B	1.959	238.01	324.1	7.44E-06	1.36	1.15E-07
GRB070411	2.954	115.69	157.4	2.69E-06	0.93	7.09E-08
GRB070328	2.06	72.12	141.1	9.15E-06	4.21	3.84E-07
GRB070318	0.84	130.37	172.5	2.62E-06	1.61	1.32E-07
GRB070306	1.496	209.24	304.1	5.46E-06	4.06	3.03E-07
GRB070223	1.63	128	144	1.79E-06	0.44	3.04E-08
GRB070208	1.165	64	64	5.18E-07	0.38	3.42E-08
GRB070129	2.338	459.75	504.5	3.00E-06	0.56	3.55E-08
GRB070110	2.352	88.43	110.9	1.63E-06	0.61	4.73E-08
GRB070103	2.621	18.41	19.52	3.29E-07	1.05	6.80E-08
GRB061222B	3.355	37.25	49.78	2.27E-06	1.5	8.64E-08
GRB061222A	2.088	100	216	8.51E-06	7.45	7.33E-07
GRB061202	2.254	94.19	148.3	3.45E-06	2.47	2.02E-07
GRB061126	1.159	52.62	95.42	6.65E-06	0.46	9.60E-07
GRB061121	1.315	81.22	122.1	1.39E-05	1	1.96E-06
GRB061110B	3.434	135.25	149.2	1.35E-06	0.46	4.32E-08
GRB061110A	0.758	44.51	53.68	1.13E-06	0.47	2.85E-08
GRB061021	0.346	47.82	64.97	3.01E-06	6.12	5.44E-07
GRB061007	1.262	75.74	252.3	4.50E-05	0.96	1.56E-06
GRB060927	5.464	22.42	24.74	1.12E-06	2.68	2.46E-07
GRB060926	3.209	8.82	10.23	2.32E-07	1.1	5.86E-08
GRB060923B	1.51	8.95	9.96	4.90E-07	1.42	7.38E-08
GRB060923A	2.47	58.49	63.72	9.77E-07	1.37	1.07E-07
GRB060912A	0.937	5.03	6.68	1.36E-06	8.54	6.07E-07
GRB060908	1.884	19.3	28.49	2.81E-06	2.98	2.71E-07
GRB060906	3.686	44.59	50.1	2.29E-06	1.98	1.22E-07
GRB060904B	0.703	189.98	214.2	1.71E-06	2.43	2.09E-07
GRB060904A	2.55	80.06	133.6	7.83E-06	4.91	4.38E-07
GRB060814	1.923	145.07	230	1.48E-05	7.31	6.06E-07
