## GRBname 	 Trig_ID 	 15_150kev 
GRB140706A   	603587	1.36E-07
GRB140703A   	603243	2.42E-07
GRB140629A   	602884	3.50E-07
GRB140628A   	602803	2.38E-07
GRB140626A   	602604	4.35E-08
GRB140622A   	602278	4.03E-08
GRB140619A   	602080	3.44E-07
GRB140614B   	601662	3.38E-08
GRB140614A   	601646	3.34E-08
GRB140611A   	601292	 N/A 
GRB140610A   	601259	1.11E-07
GRB140607A   	601051	5.59E-08
GRB140606A   	600951	5.94E-08
GRB140529A   	91901003	8.35E-07
GRB140521A   	599546	2.01E-07
GRB140518A   	599287	7.07E-08
GRB140516A   	599188	3.32E-08
GRB140515A   	599037	6.31E-08
GRB140512A   	598819	5.13E-07
GRB140509A   	598497	1.18E-07
GRB140506A   	598284	8.82E-07
GRB140502A   	597841	6.64E-08
GRB140430A   	597722	1.99E-07
GRB140428A   	597519	5.05E-08
GRB140423A   	596901	1.86E-07
GRB140419A   	596426	4.18E-07
GRB140414A   	84568002	1.20E-07
GRB140413A   	595616	1.98E-07
GRB140412A   	595608	3.60E-08
GRB140408A   	595141	9.90E-08
GRB140402A   	594308	4.56E-08
GRB140331A   	594081	1.80E-08
GRB140323A   	592916	5.97E-07
GRB140320A   	592544	5.14E-08
GRB140318A   	592204	5.02E-08
GRB140311B   	591392	 N/A 
GRB140311A   	591390	8.83E-08
GRB140305A   	590446	7.54E-08
GRB140304A   	590206	1.41E-07
GRB140302A   	589685	1.71E-07
GRB140301A   	589590	6.32E-08
GRB140215A   	586680	7.64E-07
GRB140213A   	586569	1.63E-06
GRB140211A   	586289	4.09E-08
GRB140209A   	586071	3.28E-06
GRB140206A   	585834	1.74E-06
GRB140129B   	585149	5.09E-08
GRB140129A   	585128	6.30E-08
GRB140118A   	584136	1.34E-07
GRB140114A   	583861	5.66E-08
GRB140108A   	583338	4.77E-07
GRB140103A   	582773	1.03E-07
GRB140102A   	582760	2.75E-06
GRB131229A   	582374	4.08E-08
GRB131227A   	582184	8.61E-08
GRB131226A   	582123	7.92E-07
GRB131224B   	32923023	1.02E-07
GRB131205A   	580267	5.76E-08
GRB131202A   	579982	5.30E-08
GRB131128A   	579683	1.80E-07
GRB131127A   	579571	1.05E-07
GRB131120A   	578227	3.90E-08
GRB131117A   	577968	4.88E-08
GRB131110A   	20326002	8.00E-08
GRB131105A   	576738	 N/A 
GRB131103A   	576562	1.25E-07
GRB131031A   	576277	 N/A 
GRB131030A   	576238	2.68E-06
GRB131024B   	575754	8.68E-08
GRB131024A   	575707	2.18E-08
GRB131018A   	574935	3.17E-08
GRB131004A   	573190	2.34E-07
GRB131002B   	572742	3.34E-08
GRB131002A   	572721	1.05E-07
GRB131001A   	82217006	1.94E-07
GRB130929A   	572308	1.01E-07
GRB130925A   	571830	4.68E-07
GRB130919A   	571271	4.59E-08
GRB130913A   	570531	1.60E-08
GRB130912A   	570465	1.81E-07
GRB130907A   	569992	2.44E-06
GRB130831B   	568855	1.71E-07
GRB130831A   	568849	9.44E-07
GRB130829A   	568417	4.77E-08
GRB130822A   	567163	2.09E-08
GRB130816B   	566561	7.12E-08
GRB130816A   	566545	9.38E-08
GRB130812A   	566228	1.47E-07
GRB130807A   	565651	6.44E-08
GRB130806A   	565562	6.96E-08
GRB130803A   	565263	4.11E-07
GRB130727A   	564342	5.23E-07
GRB130725B   	564028	1.37E-07
GRB130725A   	563980	5.06E-08
GRB130722A   	563213	4.86E-07
GRB130719A   	562625	4.91E-08
GRB130716A   	561974	9.59E-08
GRB130708A   	560515	1.08E-07
GRB130701A   	559482	1.44E-06
GRB130627B   	559139	2.00E-08
GRB130627A   	559132	1.33E-07
GRB130626A   	559075	7.56E-08
GRB130625A   	558982	8.93E-08
GRB130623A   	32867001	1.08E-07
GRB130615A   	558271	4.45E-08
GRB130612A   	557976	9.67E-08
GRB130610A   	557845	1.49E-07
GRB130609B   	557828	8.29E-07
GRB130609A   	557782	1.13E-07
GRB130608A   	557771	3.26E-08
GRB130606A   	557589	2.34E-07
GRB130605A   	557508	3.34E-07
GRB130604A   	557354	6.30E-08
GRB130603B   	557310	6.34E-07
GRB130603A   	557274	5.79E-08
GRB130529A   	556930	3.51E-08
GRB130528A   	556870	1.60E-08
GRB130527A   	556753	2.86E-08
GRB130521A   	556344	1.12E-07
GRB130518B   	556105	1.03E-07
GRB130518A   	556113	 N/A 
